\Vis,Visualization Technique,Vis Format,Item ID,# Answer Choice,Answer,Task,vis_file,caption,option_1,option_2,option_3,option_4,question
Wind Map of the United States,Texture-Based Visualization,Video,item19,4,3,Shape Description,vis04.mp4,A dynamic map showing wind patterns across the contiguous United States.,flow from west to east,circulate around a central point,spiral inward toward a central point,spiral outward from a central point,"In the region between Columbus and New York, the winds ___ ."
Wind Map of the United States,Texture-Based Visualization,Video,item20,2,1,Pattern Recognition - Repetition,vis04.mp4,A dynamic map showing wind patterns across the contiguous United States.,TRUE,FALSE,,,The winds near Chicago and Houston flow in roughly the same direction.
Molecule Structure,"Glyph, Mesh, Plot",Image,item22,4,3,Search - Counting,vis05.png,"Visualization of a molecular structure. The balls (nodes) represent atoms, and the links (edges) show which atoms are directly connected.",1,2,3,4,How many other atoms is each atom directly connected to?
Molecule Structure,"Glyph, Mesh, Plot",Image,item23,4,4,Pattern Recognition - Repetition,vis05.png,"Visualization of a molecular structure. The balls (nodes) represent atoms, and the links (edges) show which atoms are directly connected.",Two pentagons share a common edge.,No two hexagons share a common edge.,Each hexagon is adjacent only to pentagons.,Each pentagon is adjacent only to hexagons.,Which structural pattern can be observed in the molecule?
Closed Seifert Surface,Surface Rendering,Image,item25,4,2,Search - Counting,vis06.png,"Closed Seifert surface formed by gluing two identical Seifert surfaces along their boundaries, depicted in stacked style: three spherical lobes (""balls"") connected by tubes, with a light-yellow ridge highlighting the embedded knot that separates the surface into two regions.",1,2,3,4,How many holes does the object have?
Closed Seifert Surface,Surface Rendering,Image,item27,4,3,Shape Description,vis06_02.png,"Closed Seifert surface formed by gluing two identical Seifert surfaces along their boundaries, depicted in stacked style: three spherical lobes (""balls"") connected by tubes, with a light-yellow ridge highlighting the embedded knot that separates the surface into two regions.","The bottom and middle balls remain connected, but the top ball separates.","The top and middle balls remain connected, but the bottom ball separates.",All three balls remain attached as a single piece.,All three balls detach and fall off as separate pieces.,Suppose you make a single cut through the curved tube halfway between the top and middle balls. What happens to the balls after the cut?
Closed Seifert Surface,Surface Rendering,Image,item28,2,1,Spatial Understanding - Intersection,vis06_03.png,"Closed Seifert surface formed by gluing two identical Seifert surfaces along their boundaries, depicted in stacked style: three spherical lobes (""balls"") connected by tubes, with a light-yellow ridge highlighting the embedded knot that separates the surface into two regions.",TRUE,FALSE,,,"It is possible to travel from point A to point B by moving only along the light brown surface, without going through empty space or onto any dark-brown region or lightyellow ridge."
Human Body Organs,Surface Rendering,Image,item31,3,1,Spatial Understanding - Relative,vis07.png,"Surface rendering showing the lungs, liver, kidneys, bladder, and bones derived from a human body CT scan.",Liver,Kidneys,Bladder,,"From this viewpoint, which organ is closest to the viewer?"
Human Body Organs,Surface Rendering,Image,item32,4,4,Spatial Understanding - Relative,vis07.png,"Surface rendering showing the lungs, liver, kidneys, bladder, and bones derived from a human body CT scan.",Liver and a lung,Liver and a kidney,Bladder and a kidney,Bladder and a lung,Which pair of organs is the farthest apart?
Human Brain Fiber Bundles,Integration-Based Visualization,Image,item33,2,2,Pattern Recognition - Trend,vis08_01.png,"Tractography image of an adult human brain showing the brain's white-matter fiber pathways. Colors indicate fiber orientation: red, green, and blue correspond to left-right, front-back, and up-down directions, respectively.",TRUE,FALSE,,,The fiber bundles within the marked region generally run front-back.
Human Brain Fiber Bundles,Integration-Based Visualization,Image,item35,4,2,Quantitative Estimation - Relative Estimation (Binary),vis08_02.png,"Tractography image of an adult human brain showing the brain's white-matter fiber pathways. Colors indicate fiber orientation: red, green, and blue correspond to left-right, front-back, and up-down directions, respectively.",Region A,Region B,Region C,Region D,Which region has the highest density of fiber bundles?
Multiscale DNA Structure,Scientific Illustration,Image,item36,4,3,Spatial Understanding - Relative,vis09.jpg,"Visualization of the multiscale DNA structure, showing a cell with its nucleus, a chromosome, and DNA with sugar-phosphate backbones and nitrogen bases (adenine, guanine, thymine, and cytosine).",along the outer surface of each backbone,only at the start and end of each backbone,between the two backbones,"on one side of a backbone, without connecting to the opposite backbone","Relative to the two sugar-phosphate backbones, the nitrogen base pairs are located ______."
Multiscale DNA Structure,Scientific Illustration,Image,item37,4,2,Spatial Understanding - Relative,vis09.jpg,"Visualization of the multiscale DNA structure, showing a cell with its nucleus, a chromosome, and DNA with sugar-phosphate backbones and nitrogen bases (adenine, guanine, thymine, and cytosine).","Chromosome, cell, nucleus, DNA, gene","Cell, nucleus, chromosome, DNA, gene","Chromosome, DNA, cell, gene, nucleus","DNA, chromosome, cell, nucleus, gene",Which of the following correctly lists these structures from largest to smallest?
SARS-CoV-2 Virus,Scientific Illustration,Image,item40,4,4,Spatial Understanding - Relative,vis10.png,"Molecular visualization of SARS-CoV-2. Tan and red denote spike proteins in two conformations (RBD-down and one-RBD-up, where RBD denotes the receptor-binding domain). Yellow indicates ribonucleoprotein (RNP) complexes. Gray represents the lipid envelope.","Envelope, RNPs, RBDs","RNPs, RBDs, envelope","RBDs, envelope, RNPs","RNPs, envelope, RBDs","Starting from the center of the particle and moving outward, which order is correct?"
SARS-CoV-2 Virus,Scientific Illustration,Image,item41,4,2,Quantitative Estimation - Absolute Estimation,vis10.png,"Molecular visualization of SARS-CoV-2. Tan and red denote spike proteins in two conformations (RBD-down and one-RBD-up, where RBD denotes the receptor-binding domain). Yellow indicates ribonucleoprotein (RNP) complexes. Gray represents the lipid envelope.",30 nm,40 nm,50 nm,60 nm,What is the approximate radius of the lipid envelope?
Dragonfly Anatomy,Scientific Illustration,Image,item43,4,4,Search - Counting,vis11.png,"Anatomical illustration of a generic aeshnid dragonfly, showing both male and female genitalia.",5,7,9,10,How many segments are present in the abdomen of a female dragonfly?
Dragonfly Anatomy,Scientific Illustration,Image,item45,4,1,Search - Presence/Absence,vis11.png,"Anatomical illustration of a generic aeshnid dragonfly, showing both male and female genitalia.",Epiproct,Metepisternum,Postclypeus,Cercus,Which of the following parts is present only in a male dragonfly?
Dragonfly Anatomy,Scientific Illustration,Image,item46,4,2,Spatial Understanding - Absolute,vis11.png,"Anatomical illustration of a generic aeshnid dragonfly, showing both male and female genitalia.",Head,Thorax,Abdomen,Wings,Which part of the body are the legs attached to?
Carp Skeleton,Volume Rendering,Image,item47,4,2,Quantitative Estimation - Relative Estimation (Binary),vis12.png,Visualization of a carp skeleton derived from a CT scan.,Anal fin,Caudal fin,Dorsal fin,Pelvic fin,Fin rays are the thin bones that support each fin. In which labeled fin are the fin rays the longest?
Black Hole Accretion,Surface Rendering,Video,item51,4,4,Pattern Recognition - Trend,vis13.mp4,Visualization of gas falling into a supermassive black hole. The dark center represents the black hole. The surrounding rendered surface depicts the gas disk. Colors indicate radiation energy density on a logarithmic scale. Click to watch the video clip if it does not play automatically.,"It stays as a smooth, thick disk throughout.","It starts as a thin and rough disk and becomes a thicker, smoother disk.","It starts as a donut, becomes a disk, and then splits into two separate disks that move apart.","It starts as a donut, becomes a disk, and then breaks apart into thin streams.","Over the course of the animation, how does the shape of the gas change?"
Black Hole Accretion,Surface Rendering,Video,item52,4,1,Quantitative Estimation - Relative Estimation (Binary),vis13.mp4,Visualization of gas falling into a supermassive black hole. The dark center represents the black hole. The surrounding rendered surface depicts the gas disk. Colors indicate radiation energy density on a logarithmic scale. Click to watch the video clip if it does not play automatically.,"The inner parts of the disk, close to the black hole",The edges of the disk,All over the disk,"A thin band above and below the disk, but not near the center","In the middle stage, which region has the highest energy?"
Core-Collapse Supernova,Volume Rendering,Video,item54,4,4,Pattern Recognition - Trend,vis14.mp4,"Visualization of a 3D core-collapse supernova simulation. A semi-transparent outer shell represents a stalled shockwave (a blast wave that has stopped expanding). The internal structures depict shocked gas within the shell. Color indicates gas entropy, a measure of turbulence.",remains the same size but gradually fades out,shrinks inward toward the center,pulsates symmetrically inward and outward,rotates around the center in a spiral pattern,"Over the course of the animation, the red internal gas ____ ."
Core-Collapse Supernova,Volume Rendering,Video,item55,2,2,Quantitative Estimation - Relative Estimation (Binary),vis14.mp4,"Visualization of a 3D core-collapse supernova simulation. A semi-transparent outer shell represents a stalled shockwave (a blast wave that has stopped expanding). The internal structures depict shocked gas within the shell. Color indicates gas entropy, a measure of turbulence.",TRUE,FALSE,,,The internal shocked gas always has lower entropy than the stalled shockwave.
Core-Collapse Supernova,Volume Rendering,Video,item56,4,1,Pattern Recognition - Trend,vis14.mp4,"Visualization of a 3D core-collapse supernova simulation. A semi-transparent outer shell represents a stalled shockwave (a blast wave that has stopped expanding). The internal structures depict shocked gas within the shell. Color indicates gas entropy, a measure of turbulence.","expands as well but remains intact, keeping the gas inside",is pulled inward toward the center,dissolves and mixes with the gas,"ruptures, allowing the gas to escape freely","As the red internal gas expands on one side, the outer shell on that side ___ ."
Electric Field of a Capacitor,Integration-Based Visualization,Image,item57,4,3,Quantitative Estimation - Relative Estimation (Binary),vis15.png,"Visualization of the electric field around a parallel-plate capacitor. The curved lines with arrows depict the electric field, indicating the trajectory a positive test charge would follow. Colors indicate electric field magnitude.",Above plate 1,Below plate 2, Directly between the two plates,The left and right sides of both plates,Where is the electric field magnitude the highest?
Electric Field of a Capacitor,Integration-Based Visualization,Image,item59,4,4,Spatial Understanding - Relative,vis15.png,"Visualization of the electric field around a parallel-plate capacitor. The curved lines with arrows depict the electric field, indicating the trajectory a positive test charge would follow. Colors indicate electric field magnitude.",Electric field lines can cross in space.,The electric field lines around plate 1 exhibit a divergent pattern.,The electric field lines around plate 2 exhibit a convergent pattern.,"Between the two plates, the electric field lines point from plate 2 toward plate 1.",Which statement most accurately describes the electric field lines?
Velocity Field of a Tornado,Mixed Rendering,Image,item60,2,2,Spatial Understanding - Absolute,vis16.png,"Mixed rendering of a simulated tornado's velocity field using streamlines and arrows, with colors representing velocity magnitude.",TRUE,FALSE,,,"In a top-down view (looking down from above), the tornado rotates clockwise."
Velocity Field of a Tornado,Mixed Rendering,Image,item61,4,3,Shape Description,vis16.png,"Mixed rendering of a simulated tornado's velocity field using streamlines and arrows, with colors representing velocity magnitude.",a spiral cylinder,a spiral cone,a twisted funnel,a spherical spiral,The arrangement of the streamlines forms a 3D structure best described as ___ .
Velocity Field of a Tornado,Mixed Rendering,Image,item62,4,2,Quantitative Estimation - Relative Estimation (Binary),vis16.png,"Mixed rendering of a simulated tornado's velocity field using streamlines and arrows, with colors representing velocity magnitude.",The central core,A ring around the center,The lower part,Randomly distributed throughout,In which region is the tornado's velocity magnitude the highest?
Rocket Launch Ignition,Volume Rendering,Video,item66,4,2,Quantitative Estimation - Relative Estimation (Binary),vis18.mp4,"Visualization of the rocket exhaust plume and surrounding flow during launch ignition on the pad. Colors indicate the exhaust gas temperature, with brighter/darker regions representing hotter/cooler gas.",immediately beneath the rocket nozzle,along the sloping ramp in the trench below the rocket,"near the far end of the trench, away from the rocket",evenly throughout the plume,"Up to T+0.175 s after launch, the hottest exhaust is concentrated mainly ____ ."
Rocket Launch Ignition,Volume Rendering,Video,item67,4,3,Pattern Recognition - Trend,vis18.mp4,"Visualization of the rocket exhaust plume and surrounding flow during launch ignition on the pad. Colors indicate the exhaust gas temperature, with brighter/darker regions representing hotter/cooler gas.",It disappears almost immediately.,It remains confined to a narrow column beneath the nozzle.,"It spreads along the trench, away from the rocket.","t moves upward, away from the pad, without touching the trench.",How does the exhaust plume change right after ignition?
Car Aerodynamics,Mixed Rendering,Video,item68,4,2,Pattern Recognition - Trend,vis19.mp4,"Visualization of airflow around a car, showing air rotation strength (vorticity magnitude) and surface pressure per unit density (kinematic pressure) on the vehicle.",stops and builds up in front of the car,splits and flows over the roof and under the car,only goes under the car,only moves straight up into the sky,"After the air reaches the front of the car, it ____ ."
Car Aerodynamics,Mixed Rendering,Video,item70,4,3,Quantitative Estimation - Relative Estimation (Binary),vis19.mp4,"Visualization of airflow around a car, showing air rotation strength (vorticity magnitude) and surface pressure per unit density (kinematic pressure) on the vehicle.",The lower half of the windshield,The backend of the hood,The middle of the front bumper,The center of the roof,Which region of the car shows the highest kinematic pressure?
Car Aerodynamics,Mixed Rendering,Video,item71,4,3,Quantitative Estimation - Relative Estimation (Quantitative),vis19.mp4,"Visualization of airflow around a car, showing air rotation strength (vorticity magnitude) and surface pressure per unit density (kinematic pressure) on the vehicle.",500 m^2/s^2,750 m^2/s^2,1000 m^2/s^2,1250 m^2/s^2,"Over the course of the animation, what is the approximate difference between the maximum and minimum kinematic pressure on the windshield?"
,,,,,,,,,,,,,
